District,Total_Area_2024_km2,Trees_2024_km2,Trees_2024_pct,Flooded_Veg_2024_km2,Flooded_Veg_2024_pct,Crops_2024_km2,Crops_2024_pct,Built_Area_2024_km2,Built_Area_2024_pct,Bare_Ground_2024_km2,Bare_Ground_2024_pct,Water_2024_km2,Water_2024_pct,Total_Area_2017_km2,Trees_2017_km2,Trees_2017_pct,Flooded_Veg_2017_km2,Flooded_Veg_2017_pct,Crops_2017_km2,Crops_2017_pct,Built_Area_2017_km2,Built_Area_2017_pct,Bare_Ground_2017_km2,Bare_Ground_2017_pct,Water_2017_km2,Water_2017_pct,Crops_change_pct,Crops_change_km2,Built_Area_change_pct,Built_Area_change_km2,Trees_change_pct,Trees_change_km2,Water_change_pct,Water_change_km2
Ahmadnagar,16735.5911,111.2502,0.6647521401260814,0.0001,5.975289393871483e-07,12472.962,74.52955754876204,1309.1661,7.8226463121460945,0.7556,0.0045149286660092,2841.4571,16.978528472770822,16607.390900000002,118.9119,0.7160179507787704,0.4153,0.0025006938326477,13533.1176,81.4885232815228,637.171,3.836671297958068,0.6189,0.0037266540164355,2317.1562,13.952560121891272,-6.95896573276076,-1060.1556,3.9859750141880266,671.9950999999999,-0.05126581065268898,-7.661699999999996,3.02596835087955,524.3009000000002
Akola,5351.1982,12.9011,0.2410880613616591,0.7637,0.014271570056964,4575.9366,85.51237365866957,189.7427,3.545798397076752,0.1181,0.0022069823539707,571.736,10.684261330481087,5376.0196000000005,39.9362,0.7428581547582155,0.0432,0.0008035684988946,4754.156800000001,88.43265377975928,152.52100000000002,2.8370618291644623,0.2791,0.0051915733342936,429.0833,7.981431094484849,-2.9202801210897036,-178.22020000000066,0.7087365679122897,37.2217,-0.5017700933965563,-27.0351,2.702830235996238,142.65269999999998
Amravati,12042.3129,636.2312000000001,5.283297363914203,8.1456,0.0676414910295181,7906.0816,65.6525176322233,334.5468,2.778094231383076,0.2707,0.0022479070445013,3157.0370000000003,26.21620137440541,12077.1571,1323.6498,10.959945201010925,7.173100000000001,0.0593939446229444,8006.4024,66.29376709855003,254.3554,2.1060867047924714,0.4167,0.003450315306406,2485.1597,20.577356735717217,-0.641249466326741,-100.32079999999951,0.6720075265906047,80.19140000000002,-5.676647837096722,-687.4185999999999,5.6388446386881945,671.8773000000001
Aurangabad,9932.6963,13.405600000000002,0.1349643600801526,0.0334,0.000336263175589,8153.4947,82.08742574762907,557.8821,5.616622950608084,0.2842,0.0028612573204317,1207.5963000000002,12.157789421186672,9886.3588,22.7263,0.2298753308447595,0.8401000000000001,0.0084975673753616,8401.5993,84.98173564163987,334.06260000000003,3.3790256530038136,0.3155,0.0031912659289687,1126.815,11.397674541207223,-2.894309894010803,-248.10459999999966,2.2375972976042706,223.8195,-0.09491097076460689,-9.320699999999997,0.760114879979449,80.7813000000001
Bhandara,3727.6235,788.7073,21.158448539666093,14.4974,0.3889180331650983,2116.2467,56.77200768800819,204.8159,5.494543641545343,12.6417,0.3391356450027745,590.7145,15.846946452612505,3776.5307,896.4006,23.736086668115792,8.989,0.2380226910375705,1655.5552,43.83799130773649,147.6484,3.909630603558976,24.678,0.6534568883552303,1043.2595,27.62481184119594,12.9340163802717,460.69150000000013,1.5849130379863672,57.16749999999999,-2.577638128449699,-107.69330000000002,-11.777865388583434,-452.54499999999985
Bid,10911.8495,6.6549000000000005,0.0609878279571213,0.0,0.0,9028.5833,82.7410907747582,446.6828,4.093557192114865,0.7200000000000001,0.0065983314744214,1429.2085,13.09776587369538,10782.0136,31.352,0.2907805644021818,1.8591,0.0172426048507302,9406.3483,87.2411095827221,260.6994,2.4179101387889177,0.8065,0.0074800499231423,1080.9483,10.025477059312928,-4.500018807963897,-377.7649999999994,1.6756470533259473,185.98339999999996,-0.2297927364450605,-24.6971,3.0722888143824516,348.26019999999994
Buldana,9638.3553,27.6966,0.2873581553898516,0.0027,2.8013078123401405e-05,8069.072,83.71834974790772,318.87530000000004,3.308399515008541,0.0938,0.0009731950844352,1222.6149,12.684891373531332,9647.5318,63.410900000000005,0.6572758848019553,0.0498,0.0005161942042004,8146.0055,84.43616117440526,227.0199,2.3531396911280456,0.1447,0.0014998654889118,1210.901,12.551407189971636,-0.7178114264975335,-76.9335000000001,0.9552598238804952,91.85540000000003,-0.3699177294121037,-35.71430000000001,0.1334841835596965,11.713899999999967
Chandrapur,11096.1073,2591.3621000000003,23.353794532971037,4.7548,0.0428510636338204,5158.4256000000005,46.48860596364276,304.0294,2.739964491871848,18.9702,0.1709626582288006,3018.5652,27.20382128965173,11121.4146,3227.8267,29.023526377660623,5.0342,0.0452658243673426,4909.8036,44.14729399621519,224.6413,2.0198986197313427,37.8052,0.3399315766898934,2716.3036,24.424083605335603,2.341311967427572,248.6220000000003,0.7200658721405055,79.38810000000001,-5.669731844689586,-636.4645999999998,2.779737684316128,302.2615999999998
Dhule,7099.868,7.0606,0.0994469192948376,0.1543,0.002173279841259,5194.0789,73.15740095449662,257.5595,3.627666035481223,0.7609,0.0107171006559558,1640.2538000000002,23.102595710230105,7080.8141000000005,29.6372,0.4185563917007791,0.0703,0.0009928236924056,5356.1942,75.64376248770603,188.265,2.658804444534139,0.3846,0.0054315788349817,1506.2628,21.272452273531655,-2.4863615332094042,-162.11529999999948,0.9688615909470837,69.29450000000003,-0.31910947240594145,-22.5766,1.8301434366984495,133.9910000000002
Garhchiroli,14351.6268,8129.710800000001,56.64661514191548,0.5915,0.004121483983962,2106.397,14.677060861142236,166.46720000000002,1.1599186790448035,29.7377,0.2072078685881101,3918.7226,27.305075965325408,14349.6382,9448.2747,65.84329561702818,3.4457,0.02401245210489,1823.0553,12.704538432195452,113.7564,0.7927475133136109,48.6585,0.3390921730695621,2912.4476,20.29631381228831,1.9725224289467835,283.34169999999995,0.3671711657311926,52.71080000000002,-9.196680475112693,-1318.5638999999992,7.008762153037097,1006.2750000000001
Gondiya,5318.3577000000005,1770.4763,33.2899063934718,8.286,0.1557999756202934,2006.6057,37.72979955823581,261.1299,4.9099724901918504,2.0209,0.0379985723788379,1269.8389,23.87652301010141,5372.83,2053.4051,38.21831511512555,14.7255,0.2740734398817755,1177.6049,21.917777037427204,177.8964,3.3110372001347517,2.9747000000000003,0.0553656080687458,1946.2234,36.22343159936198,15.812022520808608,829.0008,1.5989352900570988,83.23350000000002,-4.928408721653746,-282.9287999999999,-12.346908589260572,-676.3845000000001
Hingoli,4578.406300000001,4.7885,0.1045887954505042,0.0746,0.0016293879378944,3888.6152,84.93381638060387,113.1862,2.47217465169048,0.0121,0.0002642841025271,571.7297,12.487526500214717,4607.0891,22.3402,0.4849092239175491,0.1945,0.0042217546867066,3826.052,83.04705893358998,83.1273,1.8043345417391643,0.0413,0.0008964445684369,675.3338,14.658579101498168,1.886757447013892,62.56320000000005,0.6678401099513158,30.058899999999994,-0.3803204284670449,-17.5517,-2.171052601283451,-103.60410000000002
Jalgaon,11511.1889,51.9525,0.4513217570428368,8.0578,0.0699997200115446,9016.0812,78.3245004345294,450.4156,3.9128503920216264,4.1284,0.0358642364039391,1980.5534,17.205463459990654,11557.0556,150.4923,1.302168175084318,7.046200000000001,0.0609688163133869,9129.9902,78.99927555942537,349.6678,3.0255785911421937,0.9233,0.0079890590817958,1918.9358,16.604019798952944,-0.674775124895973,-113.90899999999965,0.8872718008794327,100.74779999999998,-0.8508464180414812,-98.5398,0.6014436610377096,61.61760000000004
Jalna,7702.4629,1.8906,0.0245453957330972,0.0183,0.0002375863439731,7237.922100000001,93.96893167768457,267.96320000000003,3.478928798215958,0.5351,0.0069471285606581,194.1336,2.5204094134617643,7639.0661,2.5012000000000003,0.0327422222462507,0.272,0.00356064467095,7376.2938,96.56015150857247,161.70010000000002,2.1167522035186996,0.0084,0.0001099610854263,98.2906,1.286683459906179,-2.5912198308879084,-138.3716999999997,1.3621765946972584,106.26310000000001,-0.008196826513153503,-0.6106000000000003,1.2337259535555853,95.843
Kolhapur,7472.1732,1620.2691,21.684040996265985,0.0207,0.0002770278397722,3818.4807,51.10267920449167,557.8751,7.466035450034804,8.0324,0.1074975082215706,1467.4952,19.639469813146192,7466.7199,1839.3447,24.63390517702425,0.0263,0.0003522296316485,3721.4545,49.840553145699225,392.254,5.2533643320409,7.3486,0.0984180483320393,1506.2918,20.17340706727194,1.2621260587924468,97.02620000000024,2.212671117993904,165.62109999999996,-2.949864180758265,-219.07560000000012,-0.5339372541257461,-38.7965999999999
Latur,6653.0659000000005,1.275,0.0191640969616729,0.4535,0.0068164062526421,6236.4858,93.73852436964437,265.5469,3.99134630546798,0.0191,0.000287085687818,149.28560000000002,2.24386173598551,6575.1524,9.8449,0.1497288488704839,0.004,6.083509182235837e-05,6178.1589,93.96221599365514,193.8937,2.9488852608192015,0.0112,0.0001703382571026,193.2397,2.9389387233062463,-0.22369162401076892,58.32690000000002,1.0424610446487783,71.6532,-0.130564751908811,-8.5699,-0.6950769873207361,-43.95409999999998
Mumbai,65.8062,1.8928,2.876324723202373,0.472,0.7172576444164835,0.2396,0.3640994313605709,61.993300000000005,94.20586510085676,0.0887,0.1347897310587756,1.1198,1.701663369105039,66.2536,2.1590000000000003,3.2586908484972894,0.9289,1.4020370213844984,0.773,1.166729053213712,60.8459,91.83787748892136,0.1495,0.2256481157250323,1.3973,2.109017472258111,-0.8026296218531411,-0.5334,2.3679876119353906,1.1474000000000046,-0.3823661252949164,-0.2662000000000002,-0.4073541031530721,-0.2775000000000001
Mumbai Suburban,384.1526,107.5927,28.0078021078082,8.814400000000001,2.294504840003686,11.4336,2.976317223936529,226.3823,58.93030530054983,0.4123,0.1073271403083045,29.5173,7.683743387393448,384.0994,108.0887,28.140814591223,20.682,5.384543688430651,14.8294,3.8608235264100905,215.0551,55.989439192042475,1.2434,0.3237182875057862,24.2008,6.300660714387994,-0.8845063024735613,-3.3957999999999995,2.9408661085073575,11.327199999999976,-0.13301248341479877,-0.4960000000000093,1.383082673005454,5.316499999999998
Nagpur,9628.4888,1397.7361,14.51667160894449,24.5742,0.255223851950682,6180.4267,64.18895870762191,618.3183,6.42175852144108,5.529100000000001,0.057424380033552,1401.9044,14.559962930008288,9700.0261,1504.6773,15.512095374671208,24.700100000000003,0.254639521021495,6322.7324,65.18263285910128,486.0143000000001,5.010443219322884,10.6787,0.1100893945017323,1351.2233,13.930099631381404,-0.9936741514793681,-142.3056999999999,1.4113153021181963,132.30399999999992,-0.9954237657267182,-106.94119999999998,0.6298632986268835,50.68109999999979
Nanded,10340.0995,137.1285,1.3261816291032789,0.3942,0.0038123424247513,7594.743600000001,73.44942473716041,333.3852,3.2241972139629795,0.1726,0.0016692295852665,2274.2754,21.994714847763312,10369.7031,325.3299,3.137311616954588,0.4326,0.0041717684279697,7266.6701,70.07597064182099,256.8859,2.477273433219125,1.0433,0.0100610402239963,2519.3413,24.295211499353343,3.373454095339426,328.0735000000004,0.7469237807438547,76.4993,-1.811129987851309,-188.2014,-2.3004966515900307,-245.06590000000006
Nandurbar,5768.911700000001,49.2072,0.8529719738993404,0.014,0.0002426800881698,3762.0263,65.21206244151735,172.5328,2.9907339368706234,0.161,0.0027908210139531,1784.9704000000002,30.941198146610567,5773.9186,58.562000000000005,1.01425052996071,0.0021,3.637044692663315e-05,3464.4216,60.00121996870548,126.9611,2.1988723568080784,0.2576,0.004461441489667,2123.7142,36.781159332589134,5.210842472811869,297.60469999999987,0.791861580062545,45.57170000000001,-0.16127855606136965,-9.354800000000004,-5.8399611859785665,-338.74379999999974
Nashik,15234.8206,233.1157,1.5301506077465723,0.7768,0.0050988457323875,9989.7735,65.57197988928074,1215.8904,7.980995851044022,1.201,0.0078832565970616,3794.0632,24.903891549599212,15183.5833,329.72090000000003,2.171561834155446,1.5509000000000002,0.0102143214112046,10738.0183,70.7212394323282,608.7697000000001,4.0093941461104246,1.4949,0.0098455020166418,3504.0286,23.07774476397808,-5.149259543047464,-748.2448000000004,3.9716017049335974,607.1206999999999,-0.6414112264088738,-96.60520000000002,1.8261467856211304,290.03459999999995
Osmanabad,7479.5465,0.5878,0.0078587652339617,1.1706,0.0156506814951949,7037.421200000001,94.08887557554458,221.0389,2.955244679607246,0.0093,0.0001243390892749,219.3187,2.932245959029735,7339.0996,1.1344,0.0154569369790266,1.3584,0.0185090825037992,6961.8027,94.8590846212252,146.81220000000002,2.000411603625055,0.0501,0.0006826450481745,227.9418,3.105855110618747,-0.7702090456806161,75.6185000000005,0.954833075982191,74.2267,-0.007598171745064901,-0.5466000000000001,-0.1736091515890119,-8.623099999999994
Parbhani,6224.1211,2.5942000000000003,0.0416797802986191,0.0049,7.8725974660101e-05,5702.0136,91.61154656839824,179.05630000000002,2.876812599292131,0.1353,0.0021738008921452,340.3168,5.467708525144217,6239.79,13.3528,0.2139943812211628,0.2561,0.0041043047923087,5766.3795,92.41303793877678,135.58950000000002,2.1729817830407754,0.508,0.0081412996270707,323.70410000000004,5.187740292541896,-0.8014913703785425,-64.36589999999978,0.7038308162513558,43.466800000000006,-0.1723146009225437,-10.7586,0.27996823260232073,16.61269999999996
Pune,15106.303,975.1025,6.454938048045243,0.2013,0.0013325563508159,8326.0347,55.11629615796797,2110.4827,13.970874938759009,2.3955,0.0158576191673104,3692.0863,24.440700679709657,14999.7564,1147.5516,7.650468243604276,1.7144,0.011429518948721,9478.733,63.19257958082572,1313.2186000000002,8.754932846776098,6.844600000000001,0.045631407720728,3051.6942000000004,20.34495840212445,-8.076283422857749,-1152.6983,5.21594209198291,797.2640999999999,-1.1955301955590336,-172.44910000000004,4.095742277585206,640.3920999999996
Raigarh,6712.1106,2039.2692,30.38193679347298,47.0722,0.7013025083347108,821.2760000000001,12.235734017851255,556.7319,8.294438712020032,2.002,0.0298266837259803,3245.7593,48.35676128459504,6710.6149000000005,2550.5864,38.00823677126816,77.9966,1.1622869314107116,1014.8678,15.123320517170493,322.73060000000004,4.809255259156654,3.0689,0.0457320237523986,2741.3646000000003,40.85116849724159,-2.8875864993192373,-193.59179999999992,3.485183452863378,234.00129999999996,-7.626299977795178,-511.3172000000002,7.50559278735345,504.39469999999983
Ratnagiri,8094.712600000001,3735.165,46.143268878996395,4.1238,0.0509443658320864,118.9138,1.4690305372917132,400.2445,4.9445177337117565,0.1486,0.0018357662259682,3836.1169,47.39040271794208,8093.3494,4010.8838,49.55777394214563,4.9855,0.0615999600857464,137.4719,1.6985785884889637,191.2204,2.3626855897263006,0.3271,0.0040415899998089,3748.4607,46.31532032955354,-0.22954805119725052,-18.55810000000001,2.581832143985456,209.0241,-3.4145050631492353,-275.7188000000001,1.0750823883885374,87.6561999999999
Sangli,8443.268,115.0177,1.362241492275266,0.0026,3.0793763741717074e-05,6939.4187,82.18877690486669,502.1405,5.9472292008260315,1.0159,0.0120320709943116,885.6726,10.489689537273955,8439.902900000001,120.8663,1.4320816416027724,0.001,1.1848477545873189e-05,7256.114500000001,85.97390972353485,310.8893,3.683564890302233,0.6202000000000001,0.0073484257739505,751.4116,8.903083470308646,-3.78513281866816,-316.6958000000004,2.2636643105237986,191.25119999999998,-0.06984014932750648,-5.8485999999999905,1.5866060669653095,134.26099999999997
Satara,10261.9923,811.5984000000001,7.908780052388073,0.2291,0.0022325099581296,5794.346100000001,56.46414390702671,726.8785,7.083210343083185,1.9881,0.0193734310246948,2926.9521,28.522259756519208,10224.6228,898.8078,8.790620618298018,0.1298,0.0012694844840633,6394.971100000001,62.54481192205936,488.0503000000001,4.773284154795422,3.3874,0.0331298285155321,2439.2764,23.856883991847603,-6.08066801503265,-600.625,2.309926188287763,238.82819999999992,-0.8818405659099451,-87.20939999999996,4.665375764671605,487.6756999999998
Sindhudurg,4965.1156,2915.6901000000003,58.723508874596995,3.2899000000000003,0.0662602900927422,187.4995,3.7763370504404774,162.1979,3.266749720791999,0.5453,0.0109826244528929,1695.8929,34.15616143962489,4967.9296,2999.5907,60.37909031561156,3.6994,0.0744656284984392,201.3835,4.053670567312387,82.04050000000001,1.651402225989676,0.9041,0.0181987280979182,1680.3114,33.82317253449002,-0.2773335168719093,-13.883999999999986,1.615347494802323,80.1574,-1.6555814410145686,-83.90059999999994,0.3329889051348687,15.581500000000005
Solapur,14680.9572,1.5105000000000002,0.0102888386596481,1.202,0.0081874770399848,13629.0006,92.83455032482487,619.9151,4.222579574034859,0.1887,0.0012853385336482,429.1403,2.9231084469069906,14577.7085,3.0068,0.0206260126548695,0.4111,0.0028200591334365,13949.7638,95.69243204444648,371.5994,2.5490933640221987,0.3776,0.0025902562120788,252.5498,1.7324382635309246,-2.857881719621602,-320.76320000000123,1.6734862100126606,248.31570000000005,-0.010337173995221402,-1.4963,1.190670183376066,176.59050000000002
Thane,9074.2326,1785.7240000000002,19.679063549682425,20.8566,0.2298442294723633,2108.5081,23.23621393615147,955.7996,10.533117698569905,2.5393000000000003,0.0279836335691901,4200.805,46.29377695255464,9067.7385,2416.277,26.64696384881412,35.620000000000005,0.3928212089486259,2103.0593,23.192765208215917,642.2776,7.083106774638462,3.0196,0.0333004750853809,3867.485,42.65104248429749,0.043448727935551545,5.448800000000119,3.450010923931443,313.52200000000005,-6.967900299131696,-630.5529999999999,3.642734468257146,333.32000000000016
Wardha,6189.7983,157.1605,2.5390245753242073,4.6685,0.075422489938,4804.5184,77.61995087949796,185.2681,2.9931201473883244,0.1194,0.0019289804645169,1038.0634,16.770552927386987,6211.5958,196.1608,3.1579775361429667,9.0539,0.1457580353183959,4791.8194,77.14312962862137,140.1245,2.2558534797128944,0.1085,0.0017467331019832,1074.3287,17.2955345871024,0.476821250876597,12.698999999999614,0.73726666767543,45.14359999999999,-0.6189529608187594,-39.00029999999998,-0.5249816597154116,-36.265300000000025
Washim,5121.6602,14.0596,0.2745125496611431,0.0046,8.98146269055491e-05,4498.9294,87.84123163813172,131.77450000000002,2.572886424601148,0.2136,0.0041705226754402,476.6785,9.30710905030365,5154.4789,26.69,0.5178021002278232,0.0047,9.118283518436752e-05,4503.2342,87.36545996919301,96.1378,1.865131313273976,0.0059,0.0001144635590612,528.4063,10.251400970910948,0.47577166893870526,-4.3047999999998865,0.7077551113271721,35.63670000000002,-0.24328955056668017,-12.630400000000002,-0.9442919206072986,-51.7278
Yavatmal,13256.6252,468.1597,3.5315149439391256,5.5792,0.0420861261130019,8766.2179,66.1270705609147,299.3183,2.2578770651221247,2.3954,0.0180694555655084,3714.9547,28.023381848345537,13330.236,709.0311,5.318968846463033,5.014,0.037613737671261,8141.4044,61.07472065760876,240.4008,1.8034249356125427,8.3237,0.0624422553359145,4226.062,31.702829567308488,5.052349903305945,624.8134999999993,0.454452129509582,58.91750000000002,-1.7874539025239073,-240.87140000000005,-3.679447718962951,-511.1073000000001
