District,risk_exposure_index,agri_exposure,urban_exposure,low_forest_buffer,urban_pressure,deforest_pressure
Pune,0.5710131162913977,0.5841806081497373,0.13768419530752438,0.890198281534769,1.0,0.1292764592366981
Ahmadnagar,0.5598912812584159,0.7913111257081805,0.07160685542276785,0.9888122949559683,0.7463342573814484,0.004752121862225635
Nashik,0.5424310906323782,0.6957379162752642,0.07330869784565072,0.9740734908039472,0.743369937253102,0.06897457588681388
Solapur,0.507156097218349,0.9866169298842594,0.032915575721116024,0.9999586128498763,0.26941158164617574,0.00029807135900314076
Aurangabad,0.5057099405573963,0.8719500827673063,0.04789788747334977,0.9978352348205386,0.3857526289283762,0.009501797474111577
Sangli,0.5031764560334033,0.8730314527252532,0.05145103796438982,0.9769331903075477,0.39112863313975244,0.006773470465013789
Jalna,0.49565920524151946,0.9987202541014822,0.024923279394227636,0.9997158060846119,0.2052077617399926,6.514848254968873e-05
Latur,0.484974390736903,0.9962619147218742,0.03043042427218978,0.999807456245368,0.13927032008493134,0.01338181290624431
Bid,0.483454398071818,0.8789243861908062,0.03152892335331606,0.9990951464792742,0.26985722928475314,0.024180278004318826
Mumbai,0.47887571256447464,0.0,1.0,0.9511464838995116,0.4126440445704668,0.040784045803192566
Osmanabad,0.47809863317028817,1.0,0.019295047980097495,1.0,0.12119811787134337,0.0
Amravati,0.4647718202636418,0.6965972167319402,0.017391145069366912,0.9101527686595605,0.06286878994612807,0.6169331689709707
Parbhani,0.4635424064135041,0.97356804562184,0.018452108729852753,0.9994239863647654,0.0694319561886199,0.017925231675976313
Buldana,0.4561755138684246,0.889351287308672,0.0230905366497523,0.995239780371412,0.12128612943237499,0.03942935167032463
Thane,0.4549288587484709,0.24403488005780852,0.10073731720705915,0.6649751003725731,0.6357981857854855,0.7574534537399681
Akola,0.4536125922846498,0.9084926924372578,0.02564195228039131,0.9960278171885469,0.07044370777176309,0.05377815818130029
Washim,0.45335960237462114,0.9333405296396586,0.015185699107737968,0.9954585568935963,0.07024129429419419,0.02564906603733854
Jalgaon,0.4475750010728703,0.8318014105815134,0.02958679898312558,0.9924472778384829,0.10726442701847691,0.09176631772983267
Hingoli,0.44655719012222983,0.9023197539479126,0.014103311569283537,0.9983525681817985,0.062009310976576,0.04056142326480026
Nanded,0.4399974537024711,0.7797866083282726,0.02218558265354229,0.9775473342896857,0.0783193557271688,0.19626898057549047
Satara,0.42986466689750796,0.5985615200548801,0.06365985721920538,0.8654375575772737,0.40066958247878975,0.09513924952489397
Dhule,0.4290633922089682,0.7766708496710895,0.026521814773630234,0.9984401406798651,0.12409132837319256,0.03390015350572205
Wardha,0.4266348172406043,0.8242841927868549,0.019702109966542074,0.9568911217814037,0.0763276936719168,0.06653055973278685
Kolhapur,0.3992108155748756,0.541357172142786,0.06777422352610638,0.6308278595117615,0.3806119077044854,0.32019149593805624
Yavatmal,0.39842670387944085,0.7016604769307309,0.011800174304207371,0.9399877856731204,0.018000636678017067,0.19369243543792816
Raigarh,0.3965160489917465,0.12666484866528396,0.07667738689691854,0.48269195739696913,0.6430520918715634,0.8291036639489017
Nandurbar,0.39405715101992,0.6918977636222484,0.019676464459032445,0.9856066788481217,0.08758722999926377,0.01672423635382868
Nagpur,0.3913284205138893,0.680981720117151,0.05655098416154956,0.7528970075833854,0.2153420221883252,0.10749991798632967
Bhandara,0.37991611094761485,0.6018462841657899,0.046585854937194894,0.6397793478393357,0.25114444274160314,0.2796840720169372
Chandrapur,0.35388916393827813,0.49212714534868907,0.016981350328407734,0.6023898956367982,0.0727802389052258,0.6161805375134637
Mumbai Suburban,0.34397499156001504,0.02787115531284261,0.6208802085757755,0.5231264017272754,0.5307932632663527,0.013648186786157285
Gondiya,0.32549566430587523,0.3986747332358812,0.040303247539088434,0.4331656455093811,0.2540363615977433,0.5355062004510827
Ratnagiri,0.20089634997159678,0.011789103707554788,0.04067451834505455,0.21425701618169607,0.45674687708257633,0.37075594481895136
Garhchiroli,0.19525258195016165,0.1527126766113897,0.0,0.03537206398657114,0.0,1.0
Sindhudurg,0.09201578338824923,0.036406996735106625,0.022642910548688982,0.0,0.25742117911023227,0.1793414418179222
